Threads,Average Time (s),Peak Memory (MB),Speedup
1,64.01401980650007,36.0859375,1.0
2,72.05702551250033,36.5234375,0.8883799928071556
4,79.23455509649966,37.3359375,0.8079053353494253
8,67.10275330900004,37.5859375,0.9539700928771623
16,63.84220475450047,38.3984375,1.0026912455899715
32,43.07462944300005,39.7734375,1.4861188740162878
64,57.07808545550051,43.0234375,1.1215165907484228
128,37.878459932000624,47.69921875,1.6899847544334692
256,41.85216632650099,58.00390625,1.529527033489927
